Txhash,                        BlockTimeUnix,                        BlockTime,                        Fee(SOL),                        TokenAccount,                        ChangeType,                        ChangeAmount,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenDecimals,                        TokenMultiplier
3X8CiB8nnWhQ5ACn6nx1kwvwWAC51Y7pLidDegEoKPWF1KD7AQmG9UwseNd9eHhEc2vGHrVYQX8vE4u1YnAt7Zv9,1783021149,2026-07-02T19:39:09,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,988753960000000,988476280000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
3TmkMjiijdse7T7om5kasPLmnR9iTmNANqYi6ApTQeoUcM4kD9cYeRbwbyPFdV2ZzETChSLWwhGCBgtg1K9yEBGq,1783021134,2026-07-02T19:38:54,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,989031640000000,988753960000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
4YdxhbRPwX6cQHq4EEsbhGVdco8m9EuKurzRVHEuX6qVy2ALjnZktSJCu5PKTnHcsdouQdu5qUmLJ4hAQShTkgRC,1783021129,2026-07-02T19:38:49,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,989309320000000,989031640000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
5sLMxTw4teRCSyfQBiLHnE8EfNLJyjbUyRxaSEFK7wX7x51SFFaz1LmEeP3qehR6avVMNSCPM5p32aiJy4FMesZx,1783021114,2026-07-02T19:38:34,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,989587000000000,989309320000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
2kFnoXfRJTedGXdGiMciZwFj3RuBtS7bFgvXrfoBadJXTjtm2YuAAKMMZ1FgLiLcgYf77HBF14BXM8YGJUWx8NPq,1783021102,2026-07-02T19:38:22,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,989864680000000,989587000000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
4e2L8RKBaUrhRuWffw4SJFrq8Zw4vFQHA2pppxtw1rLLSb5vKD8muw5SBErxKtxjJKNbZwf4vc5thR5pZvpXzipq,1783021100,2026-07-02T19:38:20,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,990142360000000,989864680000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
67FNFAZKos7PZg5RDUCk16S7y5GYCTARVyTV1aypCHtFtb3jvCTpzLuBEigSS2GqRR4Gu7A7N6qAgDgBGooAkRCU,1783021087,2026-07-02T19:38:07,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,990420040000000,990142360000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
4c5V5LrraY7wHuXCnNpgiSRU4jGPAiKJuvWEkximb2rzKry4uHg2qCsBJr9fEzJ4xf41HH4DHpW7oYsijdZz2rwm,1783021084,2026-07-02T19:38:04,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,990697720000000,990420040000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
643idxBnu2mqyVkCgyVCkPvE5ZriuzQHkJqPsrpLCPawVFz8CBoG98gaqV1hmRxKvZh7BxpCeSxxsYwqfJRQPnMG,1783021082,2026-07-02T19:38:02,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,990975400000000,990697720000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
5yM85YN7HLgxPJGEipQQ9ZCXw2fB582wnpn2AGS27PpPvmVqc93Cp81StJqJeKEzNmMrRew1UMAAFBu1zeNfwiGs,1783021070,2026-07-02T19:37:50,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,991253080000000,990975400000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
